date,round,category,comment,value,clue,response,link
2013-07-02,J,THE BATTLE OF GETTYSBURG,,200,"(Sarah of the Clue Crew shows us a diagram of the Battle of Gettysburg.) The battle began when Confederate troops, searching for shoes, ran into Union cavalry.The Union forces were then pushed back into a defensive formation that became known as this, after the anglers' device it resembled.",a fishhook,http://www.j-archive.com/media/2013-07-02_J_21.wmv
2013-07-02,J,COMP. ABBREV.,(Alex: Computer abbreviations.),200,RAM(a type of recall),random access memory,NA
2013-07-02,J,UNDERWEAR,,200,Minimal panties for women include the string bikini & this 5-letter one that prevents panty lines,a thong,NA
2013-07-02,J,"3 ""E""s",,200,Iranian president Mahmoud Ahmadinejad has a Ph.D. in the civil branch of this,engineering,NA
2013-07-02,J,GENESIS,,200,"""Eve...conceived, and bare"" this guy, survivor of a sibling rivalry",Cain,NA
2013-07-02,J,IN THE BIG INNING,,200,Fernando Tatis had a big inning at Dodger Stadium in 1999: 2 of these home runs for 8 RBIs,grand slams,NA
2013-07-02,J,THE BATTLE OF GETTYSBURG,,400,"(Jimmy of the Clue Crew shows us a diagram of the Battle of Gettysburg.) Confederate forces seized the high ground of Seminary Ridge. Union troops retreated to face them along this ridge with a similar sounding, perhaps more appropriate name.",Cemetery Ridge,http://www.j-archive.com/media/2013-07-02_J_04.wmv
2013-07-02,J,COMP. ABBREV.,(Alex: Computer abbreviations.),400,AI(we could use some around here),artificial intelligence,NA
2013-07-02,J,UNDERWEAR,,400,The names of 2 different types of underwear are combined in this longer style of men's underwear,boxer briefs,NA
2013-07-02,J,"3 ""E""s",,400,We use this French word for a relaxing of tension between nations,detente,NA
2013-07-02,J,GENESIS,,400,"""The lord did there confound the language of all the earth""",(the tower of) Babel,NA
2013-07-02,J,IN THE BIG INNING,,400,"In the course of pitching one of these gems in 1996, Al Leiter hurled a 3-pitch inning--beat that!",a no-hit game (or no-hitter),NA
2013-07-02,J,THE BATTLE OF GETTYSBURG,,600,"For capturing the flag of the 19th Virginia regiment, Mass. Corporal Joseph de Castro earned this decoration",the Medal of Honor,NA
2013-07-02,NA,NA,NA,NA,NA,NA,NA
2013-07-02,J,UNDERWEAR,,600,"In 2011 Madonna's black one of these one-piece garments, a bra & waist cincher combo, sold for $72,000 at auction",a bustier,NA
2013-07-02,J,"3 ""E""s",,600,"In the wizarding game of quidditch, it's this player's job to catch the golden snitch",the seeker,NA
2013-07-02,J,GENESIS,,600,The strongly recommended height of this object is 30 cubits,the Ark,NA
2013-07-02,J,IN THE BIG INNING,,600,"The most runs scored by both teams in 1 inning:19, when Cleveland came to this park in Boston in 1977",Fenway Park,NA
2013-07-02,J,THE BATTLE OF GETTYSBURG,,800,"(Kelly of the Clue Crew shows us a diagram of the Battle of Gettysburg.) On the second day, Union General Sickles unwisely advanced his troops. Lucky for the north, General Warren noticed the move and the Union quickly reoccupied the strategic hill called Little this.",(Little) Round Top,http://www.j-archive.com/media/2013-07-02_J_02.wmv
2013-07-02,NA,NA,NA,NA,NA,NA,NA
2013-07-02,J,UNDERWEAR,,800,Common options for undershirts with sleeves are V-neck & the rounded one with this sporty name,a crew neck,NA
2013-07-02,J,"3 ""E""s",,800,"Not to be confused with a pie topping, it's a popular Latin American ballroom dance characterized by a limping step",the merengue,NA
2013-07-02,J,GENESIS,,800,"The King James Bible is big on this 5-letter verb: ""Cush"" this word ""Nimrod""; ""Canaan"" this word ""Sidon""...",begat,NA
2013-07-02,NA,NA,NA,NA,NA,NA,NA
